"SYMBOL" "ENTREZID"
"443" "ALDH1A2" "8854"
"445" "SYP" "6855"
"447" "POLD2" "5425"
"448" "ZNF440" "126070"
"449" "JPT2" "90861"
"450" "CR1" "1378"
"451" "NAA25" "80018"
"452" "ABCB10" "23456"
"453" "TNFRSF9" "3604"
"454" "BSG" "682"
"455" "TSEN34" "79042"
"456" "COG7" "91949"
"457" "LAMP2" "3920"
"458" "ZNF202" "7753"
"459" "LAT2" "7462"
"460" "PDHA1" "5160"
"461" "IFNAR1" "3454"
"462" "SMOX" "54498"
"463" "ADGRG3" "222487"
"464" "MEX3D" "399664"
"465" "CHID1" "66005"
"466" "UROD" "7389"
"467" "IGSF6" "10261"
"468" "EGLN1" "54583"
"469" "CEP63" "80254"
"470" "SUMF1" "285362"
"471" "AKAP1" "8165"
"472" "BLVRB" "645"
"473" "OSBPL2" "9885"
"474" "IFT81" "28981"
"476" "EHD2" "30846"
"477" "DAPK2" "23604"
"478" "ZNF487" "642819"
"479" "FKBP1B" "2281"
"480" "FARS2" "10667"
"481" "UBXN2B" "137886"
"482" "UBE2L5" "171222"
"483" "OSGIN1" "29948"
"484" "MKRN1" "23608"
"485" "SRPK1" "6732"
"486" "ITPA" "3704"
"487" "TMEM140" "55281"
"488" "SLC4A1" "6521"
"489" "FUT4" "2526"
"490" "GOSR2" "9570"
"491" "GRINA" "2907"
"492" "CPQ" "10404"
"493" "NFIX" "4784"
"494" "CCDC9" "26093"
"495" "ANK1" "286"
"496" "DNAJB2" "3300"
"497" "CTDP1" "9150"
"498" "RUBCNL" "80183"
"499" "DCTD" "1635"
"500" "GGT5" "2687"
"501" "TRAP1" "10131"
"502" "STX6" "10228"
"503" "CCS" "9973"
"504" "SNRPA1" "6627"
"506" "ZDHHC4" "55146"
"507" "BTRC" "8945"
"508" "PIGW" "284098"
"509" "TMPRSS9" "360200"
"510" "C12orf10" "60314"
"511" "SMARCD1" "6602"
"512" "PPP2R5B" "5526"
"513" "SNX5" "27131"
"514" "LSP1" "4046"
"515" "MAB21L3" "126868"
"516" "BAZ2B" "29994"
"517" "GRAMD1C" "54762"
"518" "PADI4" "23569"
"519" "CCDC124" "115098"
"520" "CACUL1" "143384"
"521" "PCGF1" "84759"
"522" "GYPC" "2995"
"523" "KLHL36" "79786"
"524" "GCM1" "8521"
"525" "USP8" "9101"
"526" "HDHD5" "27440"
"528" "RIPK4" "54101"
"529" "LRIG2" "9860"
"530" "CASP4" "837"
"531" "PTPRE" "5791"
"532" "CRYGS" "1427"
"533" "CACNB4" "785"
"534" "NFKBIB" "4793"
"535" "SLC2A1" "6513"
"536" "C14orf178" "283579"
"537" "DUS4L" "11062"
"538" "ZNF623" "9831"
"539" "DIS3L2" "129563"
"540" "NT5DC4" "284958"
"541" "ALKBH3" "221120"
"542" "MOB3B" "79817"
"543" "TSTD2" "158427"
"544" "SLC20A2" "6575"
"545" "FPR1" "2357"
"546" "CEACAM4" "1089"
"547" "NDUFAF8" "284184"
"548" "ITPRID1" "223075"
"549" "DPH2" "1802"
"550" "MRPL23" "6150"
"551" "GPSM2" "29899"
"552" "ACYP1" "97"
"553" "FZD10" "11211"
"554" "UBE3D" "90025"
"555" "TBKBP1" "9755"
"556" "SESN3" "143686"
"557" "TLR4" "7099"
"558" "RNF123" "63891"
"559" "C3orf62" "375341"
"560" "CCNI" "10983"
"561" "FCGR2B" "2213"
"562" "CD93" "22918"
"563" "IAH1" "285148"
"564" "RTN4IP1" "84816"
"565" "AADACL3" "126767"
"566" "TRIM10" "10107"
"567" "PGM1" "5236"
"568" "RAF1" "5894"
"569" "FZD8" "8325"
"570" "NELFCD" "51497"
"571" "CGNL1" "84952"
"572" "SNX22" "79856"
"573" "ELOB" "6923"
"574" "UCP2" "7351"
"575" "CTRL" "1506"
"576" "FARSB" "10056"
