,alpha,log_alpha,train_auc,train_accuracy,val_auc,val_accuracy,test_auc,test_accuracy
23,0.024,-1.6197887582883939,0.8650711341576918,0.7836107554417413,0.7520826742592007,0.673469387755102,0.6183309715005512,0.6137339055793991
24,0.025,-1.6020599913279623,0.8596396755750565,0.7759282970550576,0.7507118000632711,0.6632653061224489,0.6197669658321524,0.6145922746781116
25,0.026,-1.585026652029182,0.8567012365376945,0.7733674775928298,0.7494463777285669,0.6632653061224489,0.6205542434262321,0.6171673819742489
26,0.027,-1.5686362358410126,0.8536032442494349,0.7720870678617158,0.7477591479489613,0.6683673469387755,0.6210706975279483,0.6163090128755365
27,0.028,-1.5528419686577808,0.8509706156096264,0.7695262483994878,0.7467046293367079,0.6683673469387755,0.6217572035899859,0.6163090128755365
28,0.029,-1.537602002101044,0.8478726233213669,0.765685019206146,0.7448064958346515,0.6683673469387755,0.6222610612501968,0.6188841201716738
29,0.03,-1.5228787452803376,0.8447679829809865,0.764404609475032,0.7425920067489191,0.6581632653061225,0.6224940954180445,0.6171673819742489
30,0.031,-1.5086383061657274,0.8411049062624651,0.7605633802816901,0.7417483918591163,0.6581632653061225,0.6224027712171312,0.6103004291845494
31,0.032,-1.494850021680094,0.8376745113681692,0.7592829705505761,0.741326584414215,0.6581632653061225,0.6222705085813258,0.6120171673819742
32,0.033,-1.4814860601221125,0.834297300890839,0.7554417413572343,0.7399557102182854,0.6530612244897959,0.6222106754841757,0.6103004291845494
33,0.034,-1.4685210829577449,0.830920090413509,0.7554417413572343,0.739533902773384,0.6479591836734694,0.6217383089277279,0.6094420600858369
34,0.035,-1.4559319556497243,0.8271572929131764,0.7516005121638925,0.7380575767162291,0.6479591836734694,0.6210486537553142,0.6128755364806867
35,0.036,-1.4436974992327127,0.8238133226964499,0.7528809218950064,0.7346831171570178,0.6479591836734694,0.6205007085498346,0.6137339055793991
36,0.037,-1.431798275933005,0.8209546602845366,0.7490396927016645,0.7329958873774123,0.6530612244897959,0.6197606676113998,0.6128755364806867
37,0.038,-1.4202164033831899,0.8180095731950539,0.7439180537772087,0.7306759464304545,0.6581632653061225,0.6188222327192567,0.615450643776824
38,0.039,-1.408935392973501,0.8151309666267783,0.7387964148527529,0.727196035010018,0.6632653061224489,0.618192410643993,0.6111587982832618
39,0.04,-1.3979400086720375,0.8116939236803616,0.736235595390525,0.7255088052304124,0.6632653061224489,0.6178523067233507,0.6103004291845494
40,0.041,-1.3872161432802645,0.8084895625581705,0.737516005121639,0.7241379310344828,0.6632653061224489,0.6171374586679264,0.6111587982832618
41,0.042,-1.3767507096020994,0.805511235208084,0.734955185659411,0.7225561531161026,0.6632653061224489,0.6166052590143285,0.6128755364806867
42,0.043,-1.3665315444204134,0.802619332535567,0.7285531370038413,0.7200253084466941,0.6632653061224489,0.6161927255550307,0.6094420600858369
43,0.044,-1.3565473235138126,0.7998670389575855,0.7259923175416133,0.7171781081936097,0.6683673469387755,0.6159628404975593,0.6137339055793991
44,0.045,-1.3467874862246563,0.7969020077117405,0.7234314980793854,0.7146472635242013,0.673469387755102,0.6152920799874037,0.6145922746781116
45,0.046,-1.337242168318426,0.793996808934982,0.7208706786171575,0.7116946114098913,0.6683673469387755,0.6147976696583215,0.6128755364806867
46,0.047,-1.3279021420642825,0.7911913309400346,0.7170294494238156,0.7089528630180323,0.6683673469387755,0.6143504959848843,0.6137339055793991
47,0.048,-1.3187587626244128,0.7882395957984311,0.7183098591549296,0.7072656332384267,0.673469387755102,0.6139537080774681,0.6094420600858369
48,0.049,-1.3098039199714864,0.7850285866241191,0.7131882202304738,0.7053674997363704,0.673469387755102,0.6132451582427965,0.6068669527896996
