"SYMBOL" "ENTREZID"
"836" "DGCR8" "54487"
"837" "PGM2" "55276"
"838" "CLEC2B" "9976"
"839" "SPEN" "23013"
"840" "NABP1" "64859"
"841" "SPG21" "51324"
"842" "RAB27A" "5873"
"843" "VPS18" "57617"
"844" "MUL1" "79594"
"845" "APOBR" "55911"
"846" "SLC35A3" "23443"
"847" "MTMR6" "9107"
"848" "WDR27" "253769"
"849" "SLBP" "7884"
"850" "TMEM252" "169693"
"851" "MCTP1" "79772"
"852" "NIN" "51199"
"853" "DSE" "29940"
"854" "FAM13A" "10144"
"855" "PSMB10" "5699"
"856" "EDA" "1896"
"857" "RNF146" "81847"
"858" "ACTR3" "10096"
"859" "ATP6V1A" "523"
"860" "STAT5B" "6777"
"861" "PLBD1" "79887"
"862" "PSMB8" "5696"
"863" "CA5B" "11238"
"864" "OSTM1" "28962"
"865" "PBX2" "5089"
"866" "CXCL16" "58191"
"867" "CDC42" "998"
"868" "CCDC186" "55088"
"870" "RFLNB" "359845"
"871" "ADAT2" "134637"
"872" "GABARAP" "11337"
"873" "APH1A" "51107"
"874" "SLU7" "10569"
"875" "FBXO25" "26260"
"876" "MICAL3" "57553"
"877" "FAM32A" "26017"
"878" "PLOD1" "5351"
"879" "LAMTOR1" "55004"
"880" "NUP98" "4928"
"881" "TRIM27" "5987"
"882" "TMEM60" "85025"
"883" "CEBPB" "1051"
"884" "WBP1L" "54838"
"885" "CCDC71" "64925"
"886" "SIRPA" "140885"
"887" "MAST4" "375449"
"888" "SLC19A1" "6573"
"889" "DCP2" "167227"
"890" "KLF6" "1316"
"891" "ZNF408" "79797"
"892" "LIN37" "55957"
"893" "YIPF4" "84272"
"894" "EPHB4" "2050"
"895" "PCBD2" "84105"
"896" "FFAR2" "2867"
"897" "SDHD" "6392"
"898" "EVI2B" "2124"
"899" "NUP58" "9818"
"900" "USP15" "9958"
"901" "YIPF3" "25844"
"902" "MBD4" "8930"
"903" "DGLUCY" "80017"
"904" "BCL10" "8915"
"905" "TBCC" "6903"
"906" "HAUS4" "54930"
"907" "ALDOA" "226"
"908" "KMT2A" "4297"
"909" "ARMH3" "79591"
"910" "TSEN2" "80746"
"911" "PSMD13" "5719"
"912" "ARPC1B" "10095"
"913" "RABAC1" "10567"
"914" "TUFT1" "7286"
"915" "TLK2" "11011"
"916" "SLC7A7" "9056"
"917" "SIAH1" "6477"
"918" "BROX" "148362"
"919" "SQSTM1" "8878"
"920" "LRP8" "7804"
"921" "GCC1" "79571"
"922" "HCK" "3055"
"923" "VCPIP1" "80124"
"924" "FAM177A1" "283635"
"925" "SIGLEC9" "27180"
"927" "PPM1F" "9647"
"928" "EFHD2" "79180"
"929" "P2RY13" "53829"
"930" "REM2" "161253"
"931" "PLEKHB2" "55041"
"932" "SEL1L" "6400"
"933" "GALK1" "2584"
"934" "TPI1" "7167"
"935" "DDIT3" "1649"
"936" "BASP1" "10409"
"937" "SERINC1" "57515"
"938" "SEC31A" "22872"
"939" "CSTA" "1475"
"940" "DDX3X" "1654"
"941" "LEMD2" "221496"
"942" "TMBIM4" "51643"
"943" "SMAD3" "4088"
"944" "ATP6AP2" "10159"
"945" "ACYP1" "97"
"946" "FAM200B" "285550"
"947" "RLIM" "51132"
"948" "ALG13" "79868"
"949" "GAPDH" "2597"
"950" "PDE4DIP" "9659"
"951" "DNAJC16" "23341"
"952" "NT5C2" "22978"
"953" "ZNF438" "220929"
"954" "SLC22A23" "63027"
"955" "DYRK1A" "1859"
